,coin_name,price,market_cap,volume,supply
145,SafePalSFP,$0.75,"$365,632,586","$5,993,599","487,500,000 SFP"
146,OsmosisOSMO,$0.5246,"$358,626,314","$13,207,287","683,556,426 OSMO"
147,Reserve RightsRSR,$0.006656,"$342,381,763","$34,162,726","51,438,764,433 RSR"
148,1inch Network1INCH,$0.2695,"$342,349,673","$44,184,307","1,270,402,833 1INCH"
149,SafeSAFE,$0.7342,"$340,503,766","$9,575,564","463,757,969 SAFE"
150,Curve DAO TokenCRV,$0.2841,"$340,228,068","$106,818,621","1,197,426,215 CRV"
151,Trust Wallet TokenTWT,$0.8106,"$337,718,015","$29,980,724","416,649,900 TWT"
152,AevoAEVO,$0.3829,"$333,587,638","$37,491,251","871,149,495 AEVO"
153,Baby Doge CoinBabyDoge,$0.082173,"$330,393,982","$82,358,684","152,015,561,755,830,144 BabyDoge"
154,Echelon PrimePRIME,$9.14,"$327,066,110","$6,077,821","35,773,841 PRIME"
155,KusamaKSM,$20.92,"$323,844,871","$15,999,064","15,481,790 KSM"
156,GMTGMT,$0.1303,"$320,504,174","$28,052,298","2,459,818,641 GMT"
157,WOOWOO,$0.174,"$317,310,148","$14,394,586","1,823,536,923 WOO"
158,ConstitutionDAOPEOPLE,$0.06263,"$316,916,397","$139,539,630","5,060,137,335 PEOPLE"
159,AmpAMP,$0.003899,"$314,756,518","$10,084,942","80,722,574,661 AMP"
160,HoloHOT,$0.001714,"$297,884,926","$11,470,096","173,841,360,398 HOT"
161,DashDASH,$24.87,"$297,299,906","$56,776,876","11,955,384 DASH"
162,GolemGLM,$0.2911,"$291,136,214","$11,109,853","1,000,000,000 GLM"
163,Manta NetworkMANTA,$0.7584,"$287,477,363","$33,044,386","379,044,831 MANTA"
164,JitoJTO,$2.22,"$281,373,890","$43,356,599","126,732,853 JTO"
165,MemecoinMEME,$0.01054,"$278,672,153","$30,217,353","26,444,870,862 MEME"
166,JUSTJST,$0.02809,"$278,060,783","$23,672,251","9,900,000,000 JST"
167,AnkrANKR,$0.02779,"$277,855,414","$18,649,765","10,000,000,000 ANKR"
168,TerraLUNA,$0.3953,"$276,932,796","$41,429,093","700,588,032 LUNA"
169,ZetaChainZETA,$0.6871,"$275,748,219","$356,425,399","401,333,333 ZETA"
170,CeloCELO,$0.5004,"$274,285,677","$27,249,985","548,116,086 CELO"
171,GravityG,$0.03761,"$271,991,408","$20,634,987","7,232,700,005 G"
172,Basic Attention TokenBAT,$0.1829,"$273,534,974","$10,130,641","1,495,658,357 BAT"
173,aelfELF,$0.3668,"$268,901,129","$10,288,896","733,089,816 ELF"
174,0x ProtocolZRX,$0.3124,"$265,055,874","$24,358,595","848,396,563 ZRX"
175,ZilliqaZIL,$0.01415,"$264,672,975","$16,203,282","18,704,789,775 ZIL"
176,io.netIO,$2.16,"$260,000,729","$104,964,499","120,286,834 IO"
177,Enjin CoinENJ,$0.1498,"$258,861,675","$15,199,312","1,728,271,070 ENJ"
178,AragonANT,$5.91,"$255,422,718","$992,794","43,191,531 ANT"
179,SiacoinSC,$0.004421,"$255,269,632","$4,624,704","57,740,391,700 SC"
180,ether.fiETHFI,$1.47,"$257,148,872","$68,331,401","174,948,880 ETHFI"
181,ssv.networkSSV,$22.23,"$254,486,078","$31,312,013","11,449,899 SSV"
182,ArkhamARKM,$1.12,"$252,651,951","$68,859,396","225,100,000 ARKM"
183,RavencoinRVN,$0.01751,"$250,371,279","$8,375,136","14,296,971,258 RVN"
184,Sun (New)SUN,$0.02512,"$250,033,428","$54,740,719","9,951,640,722 SUN"
185,SPACE IDID,$0.3645,"$248,097,058","$14,814,367","680,705,916 ID"
186,QtumQTUM,$2.34,"$246,837,492","$30,766,360","105,322,775 QTUM"
187,AltlayerALT,$0.1071,"$239,067,120","$117,618,890","2,232,474,196 ALT"
188,SagaSAGA,$2.36,"$240,733,098","$218,360,379","102,176,875 SAGA"
189,GMXGMX,$24.66,"$238,805,383","$12,399,133","9,682,250 GMX"
190,RadixXRD,$0.02146,"$226,374,751","$1,772,075","10,548,222,891 XRD"
191,ThresholdT,$0.02277,"$223,990,616","$7,209,951","9,836,969,967 T"
192,Mask NetworkMASK,$2.24,"$224,036,248","$32,077,032","100,000,000 MASK"
193,GasGAS,$3.43,"$223,074,948","$6,117,587","64,992,331 GAS"
194,FluxFLUX,$0.6135,"$216,693,507","$16,645,658","353,228,122 FLUX"
195,OriginTrailTRAC,$0.5224,"$215,412,351","$2,327,531","412,369,433 TRAC"
196,PolymeshPOLYX,$0.2394,"$212,215,211","$16,529,421","886,461,066 POLYX"
197,BlastBLAST,$0.01037,"$209,465,145","$55,248,786","20,193,817,921 BLAST"
198,Open CampusEDU,$0.632,"$208,473,255","$7,504,149","329,843,750 EDU"
199,dYdX (ethDYDX)ETHDYDX,$0.9455,"$208,171,155","$32,628,457","220,161,522 ETHDYDX"
200,Ethena USDeUSDe,$0.9991,"$2,591,261,269","$53,140,848","2,593,688,326 USDe"
201,FellazFLZ,$2.87,"$1,355,996,845","$9,514,958","471,874,940 FLZ"
202,ZeebuZBU,$4.76,"$1,231,429,122","$30,534,528","258,970,840 ZBU"
203,CheeleeCHEEL,$17.13,"$972,895,340","$6,927,092","56,797,262 CHEEL"
204,FasttokenFTN,$2.28,"$694,318,703","$249,087,830","304,850,250 FTN"
205,FraxFRAX,$0.9972,"$647,601,858","$2,956,273","649,434,271 FRAX"
206,Aerodrome FinanceAERO,$0.823,"$515,235,879","$46,121,902","626,047,930 AERO"
207,First Neiro On EthereumNEIRO,$0.0009099,"$381,960,151","$725,022,858","419,770,462,085 NEIRO"
208,BeldexBDX,$0.05443,"$363,577,652","$11,328,250","6,679,626,295 BDX"
209,PepeCoinPEPECOIN,$2.98,"$348,369,243","$4,995,940","117,031,933 PEPECOIN"
210,Ondo US Dollar YieldUSDY,$1.06,"$340,345,582","$146,843","322,119,848 USDY"
211,TurboTURBO,$0.005104,"$329,181,541","$108,372,554","64,490,000,000 TURBO"
212,SUNDOGSUNDOG,$0.3298,"$328,923,865","$173,648,531","997,478,411 SUNDOG"
213,FLEXFLEX,$3.30,"$325,641,952","$4,594","98,664,939 FLEX"
214,OrblerORBR,$0.3092,"$314,063,003","$57,561","1,015,586,750 ORBR"
215,IPVERSEIPV,$1.89,"$282,883,588","$124,008","150,001,000 IPV"
216,USDBUSDB,$1.00,"$259,854,106","$13,966,700","259,202,722 USDB"
217,AvailAVAIL,$0.1461,"$258,891,525","$4,735,187","1,772,520,745 AVAIL"
218,Dog (Runes)DOG,$0.002582,"$258,222,335","$6,342,830","100,000,000,000 DOG"
219,AethirATH,$0.05974,"$242,334,754","$64,672,299","4,056,713,543 ATH"
220,Rollbit CoinRLB,$0.08802,"$234,733,073","$2,923,494","2,666,952,570 RLB"
221,Simon's CatCAT,$0.0000347,"$234,228,929","$92,828,291","6,749,955,330,001 CAT"
222,TribeTRIBE,$0.4142,"$224,093,695","$7,931","541,087,234 TRIBE"
223,Meta Games CoinMGC,$0.2001,"$220,141,219","$24,596","1,099,999,700 MGC"
224,QubicQUBIC,$0.051866,"$210,040,487","$3,482,603","112,546,976,413,437 QUBIC"
225,Rocket PoolRPL,$10.02,"$207,575,889","$8,796,818","20,706,749 RPL"
226,DecredDCR,$12.64,"$206,370,653","$1,118,509","16,328,415 DCR"
227,Convex FinanceCVX,$2.07,"$204,019,832","$11,187,334","98,389,971 CVX"
228,MetisMETIS,$33.91,"$201,976,209","$8,407,942","5,956,334 METIS"
229,MimbleWimbleCoinMWC,$18.41,"$201,875,129","$3,273","10,963,993 MWC"
230,EthereumPoWETHW,$1.86,"$200,711,936","$5,347,489","107,818,999 ETHW"
231,Osaka ProtocolOSAK,$0.062651,"$199,073,397","$473,288","750,869,738,630,302 OSAK"
232,BiconomyBICO,$0.2306,"$195,786,329","$9,313,866","848,972,115 BICO"
233,SKALESKL,$0.03482,"$192,840,168","$25,436,248","5,538,894,337 SKL"
234,COTICOTI,$0.1097,"$188,553,878","$16,618,974","1,718,062,713 COTI"
235,IlluviumILV,$39.45,"$187,676,576","$10,442,788","4,757,104 ILV"
236,UMAUMA,$2.25,"$185,932,004","$26,934,719","82,590,724 UMA"
237,KadenaKDA,$0.643,"$186,183,520","$81,994,919","289,561,289 KDA"
238,HarmonyONE,$0.01298,"$183,861,987","$5,554,545","14,168,543,419 ONE"
239,Band ProtocolBAND,$1.19,"$179,548,938","$5,110,124","151,139,339 BAND"
240,PonkePONKE,$0.3222,"$179,012,474","$22,103,973","555,544,226 PONKE"
241,SolarSXP,$0.2825,"$174,433,055","$155,500,127","617,566,041 SXP"
242,SushiSwapSUSHI,$0.6661,"$173,958,130","$22,828,029","261,178,755 SUSHI"
243,ArcblockABT,$1.75,"$172,365,564","$2,059,276","98,554,305 ABT"
244,TellorTRB,$65.51,"$171,370,219","$42,098,413","2,615,996 TRB"
245,CentrifugeCFG,$0.3411,"$170,964,031","$1,006,882","501,141,082 CFG"
246,DriftDRIFT,$0.7525,"$170,552,549","$36,295,427","226,641,386 DRIFT"
247,LoopringLRC,$0.1245,"$170,154,527","$13,392,790","1,366,806,970 LRC"
248,GigachadGIGA,$0.01819,"$169,171,643","$4,097,863","9,302,411,888 GIGA"
249,yearn.financeYFI,"$4,990.82","$167,506,421","$14,089,815","33,563 YFI"
250,Destra NetworkDSYNC,$0.1728,"$167,143,506","$970,517","967,512,688 DSYNC"
251,ChromiaCHR,$0.2,"$166,373,991","$16,037,958","831,922,607 CHR"
252,TelcoinTEL,$0.001865,"$169,024,256","$1,503,969","90,649,420,414 TEL"
253,Yield Guild GamesYGG,$0.4354,"$166,134,782","$52,814,188","381,553,966 YGG"
254,PAAL AIPAAL,$0.201,"$164,738,674","$3,214,362","819,528,083 PAAL"
255,AudiusAUDIO,$0.1297,"$163,574,834","$7,229,541","1,260,762,231 AUDIO"
256,NEMXEM,$0.01812,"$163,079,642","$7,927,646","8,999,999,999 XEM"
257,BounceBitBB,$0.3584,"$163,355,311","$44,727,724","455,815,068 BB"
258,Vanar ChainVANRY,$0.1049,"$162,388,575","$11,978,278","1,548,356,743 VANRY"
259,OntologyONT,$0.1793,"$162,792,925","$5,998,991","907,697,857 ONT"
260,CreditcoinCTC,$0.4357,"$162,129,742","$6,725,397","372,085,684 CTC"
261,GominingGomining,$0.3861,"$160,904,974","$10,941,047","416,728,753 Gomining"
262,Alchemy PayACH,$0.01968,"$160,214,126","$10,943,159","8,140,572,240 ACH"
263,HivemapperHONEY,$0.06262,"$159,490,498","$660,128","2,546,824,563 HONEY"
264,VeThor TokenVTHO,$0.001959,"$158,216,201","$1,780,800","80,750,184,095 VTHO"
265,MoonbeamGLMR,$0.1754,"$158,274,896","$5,518,304","902,577,659 GLMR"
266,Frax ShareFXS,$1.94,"$157,412,840","$13,730,379","81,349,890 FXS"
267,StorjSTORJ,$0.4018,"$157,343,336","$35,918,258","391,571,610 STORJ"
268,Big TimeBIGTIME,$0.1443,"$157,370,397","$150,606,380","1,090,215,273 BIGTIME"
269,PixelsPIXEL,$0.142,"$153,517,184","$47,255,920","1,080,998,337 PIXEL"
270,AlephiumALPH,$1.75,"$152,861,526","$1,640,933","87,343,505 ALPH"
271,ChiaXCH,$13.73,"$150,972,244","$5,804,305","10,998,344 XCH"
272,SwissBorgBORG,$0.1524,"$149,924,171","$1,089,490","983,729,858 BORG"
273,USDJUSDJ,$1.12,"$145,079,669","$154,679","129,004,664 USDJ"
274,ZignalyZIG,$0.1004,"$143,909,113","$7,100,601","1,433,308,739 ZIG"
275,CasperCSPR,$0.01163,"$143,145,040","$4,289,406","12,311,273,565 CSPR"
276,ICONICX,$0.1394,"$141,913,850","$19,847,529","1,018,340,983 ICX"
277,TaikoTAIKO,$1.85,"$140,696,208","$204,418,780","76,032,579 TAIKO"
278,STASIS EUROEURS,$1.11,"$138,041,928","$1,139,520","124,125,940 EURS"
279,API3API3,$1.58,"$136,737,408","$9,700,470","86,421,978 API3"
280,ChintaiCHEX,$0.14,"$135,700,738","$519,176","969,210,617 CHEX"
281,Banana GunBANANA,$39.48,"$135,565,378","$64,905,066","3,433,532 BANANA"
